	QID	label	geneID	proteinID
3085	Q18045752	CERK	64781	Q5063674
3090	Q18046019	DERL1	79139	Q5262653
3095	Q18047065	CDT1	81620	Q5205770
3098	Q18047173	EPPK1	83481	Q5383173
3102	Q18048485	DERL3	91319	Q5262656
3107	Q18053362	ENKUR	219670	Q5379041
3112	Q18053795	EPGN	255324	Q5382895
3117	Q18055896	POLN	353497	Q5205767
3120	Q18058590	CDNF	441549	Q5064097
3124	Q18248414	COIL	8161	Q5141482
3132	Q18248676	DCN	1634	Q5249629
3139	Q20970075	CFI	3426	Q5156413
3146	Q18031838	TAP1	6890	Q21106702
3148	Q18031859	TCEA2	6919	Q21106595
3154	Q18033468	TMEM11	8834	Q21106685
3156	Q18033497	SQSTM1	8878	Q21106590
3161	Q18034557	MDC1	9656	Q21106545
3167	Q18034573	TTI1	9675	Q21106532
3169	Q18034612	ADAMTSL2	9719	Q21106622
3170	Q18034656	SUSD6	9766	Q21106631
3172	Q18034858	TELO2	9894	Q21106561
3178	Q18034960	GNE	10020	Q21106661
3181	Q18035107	RNF41	10193	Q21106502
3184	Q18035591	FARS2	10667	Q21106567
3188	Q18036482	GABARAP	11337	Q21106566
3193	Q18036501	IKZF2	22807	Q21106510
3199	Q18037286	ARL2BP	23568	Q21106518
3201	Q18038116	WIPI2	26100	Q21106524
3207	Q18038665	CPNE7	27132	Q21106645
3210	Q18039652	CYP2S1	29785	Q21106635
3212	Q18039674	SNX10	29887	Q21106527
3215	Q18039688	SNX15	29907	Q21106508
3219	Q18039693	SNX11	29916	Q21106525
3221	Q18039708	SNX12	29934	Q21106515
3223	Q18039764	EFEMP2	30008	Q21106541
3228	Q18039900	MTERF3	51001	Q21106492
3230	Q18039928	PAM16	51025	Q21106522
3235	Q18040217	SPG21	51324	Q21106509
3240	Q18040220	ARL6IP4	51329	Q21106483
3244	Q18041016	FBXW5	54461	Q21106633
3249	Q18041034	PLEKHA5	54477	Q21106556
3255	Q18041056	ADAMTSL4	54507	Q21106610
3259	Q18041210	RBFOX1	54715	Q21106557
3265	Q18041212	SLC6A20	54716	Q21106644
3271	Q18041258	KCTD9	54793	Q21106485
3274	Q18041368	NSD3	54904	Q21106554
3278	Q18041483	PID1	55022	Q21106619
3281	Q18042415	DIABLO	56616	Q21106506
3288	Q18042551	LGALS14	56891	Q21106628
3290	Q18042614	NMUR2	56923	Q21106641
3295	Q18042923	RTN4	57142	Q21106505
3301	Q18042969	ADAMTSL3	57188	Q21106585
3302	Q18043019	RHOJ	57381	Q21106642
3307	Q18045492	NAPB	63908	Q21106500
3313	Q18045703	CSRNP1	64651	Q21106495
3315	Q18045833	NDRG4	65009	Q21106514
3320	Q18045959	ZFYVE21	79038	Q21106497
