	geneID	proteinID	wikilink	counts
361	392	Q21141998	https://en.wikipedia.org/wiki/ARHGAP1	1
362	392	Q21171700	https://en.wikipedia.org/wiki/ARHGAP1	1
363	393	Q21137832	https://en.wikipedia.org/wiki/ARHGAP4	1
364	393	Q21175099	https://en.wikipedia.org/wiki/ARHGAP4	1
365	394	Q21159876	https://en.wikipedia.org/wiki/ARHGAP5	1
366	396	Q21106149	https://en.wikipedia.org/wiki/ARHGDIA	1
367	396	Q21149894	https://en.wikipedia.org/wiki/ARHGDIA	1
368	397	Q21106152	https://en.wikipedia.org/wiki/ARHGDIB	1
369	397	Q21151178	https://en.wikipedia.org/wiki/ARHGDIB	1
370	398	Q21115578	https://en.wikipedia.org/wiki/ARHGDIG	1
371	399	Q21127035	https://en.wikipedia.org/wiki/RhoH	1
372	400	Q21171802	https://en.wikipedia.org/wiki/ARL1	1
373	401	Q21119716	https://en.wikipedia.org/wiki/PHOX2A	1
