	QID	label	geneID	proteinID
987	Q18034486	GUCA1C	9626	Q21141072
988	Q18034518	TESMIN	9633	Q21133383
990	Q18034533	MTFR1	9650	Q21117582
991	Q18034533	MTFR1	9650	Q21151196
992	Q18034533	MTFR1	9650	Q21173791
996	Q18034537	PLCH2	9651	Q6055405
997	Q18034546	TTC37	9652	Q21121823
999	Q18034554	TTLL4	9654	Q21135833
1000	Q18034554	TTLL4	9654	Q21139729
1003	Q18034562	LPIN2	9663	Q21119316
1005	Q18034565	ZNF432	9668	Q21174083
1007	Q18034568	WSCD2	9671	Q21136689
1008	Q18034568	WSCD2	9671	Q21151415
1011	Q18034571	SLC25A44	9673	Q21121340
1013	Q18034572	KIAA0040	9674	Q21113450
1015	Q18034573	TTI1	9675	Q21106532
1017	Q18034574	PPIP5K1	9677	Q21135906
1018	Q18034574	PPIP5K1	9677	Q21148843
1021	Q18034575	PHF14	9678	Q21133047
1023	Q18034576	FAM53B	9679	Q21118115
1025	Q18034579	N4BP1	9683	Q21132743
1027	Q18034580	LRRC14	9684	Q21139697
1028	Q18034580	LRRC14	9684	Q21174524
1031	Q18034588	PRORP	9692	Q21118788
1032	Q18034588	PRORP	9692	Q21148758
1035	Q18034597	PPP6R2	9701	Q21105134
1036	Q18034597	PPP6R2	9701	Q21139778
1039	Q18034599	KIAA0100	9703	Q21113447
1040	Q18034599	KIAA0100	9703	Q21125067
1041	Q18038614	ARRDC2	27106	Q21105270
1042	Q18038614	ARRDC2	27106	Q21137771
1043	Q18038614	ARRDC2	27106	Q21145175
1047	Q18038635	DKKL1	27120	Q21112252
1049	Q18038671	PALD1	27143	Q22680126
1051	Q18038673	FAM184B	27146	Q21110274
1053	Q18038674	DENND2A	27147	Q21115771
1054	Q18038674	DENND2A	27147	Q21141758
1057	Q18038676	CPAMD8	27151	Q21115702
1058	Q18038676	CPAMD8	27151	Q21140305
1061	Q18038677	INTU	27152	Q21118442
1062	Q18038677	INTU	27152	Q21139955
1065	Q18038678	ZNF777	27153	Q21136739
1067	Q18038679	BRPF3	27154	Q21110497
1068	Q18038679	BRPF3	27154	Q21145648
1071	Q18038682	CHIA	27159	Q21100758
1073	Q18038688	PRELID1	27166	Q21133422
1075	Q18038704	IL17C	27189	Q21120658
1076	Q18038705	IL17B	27190	Q21120661
1077	Q18038728	ARHGEF16	27237	Q21101965
1079	Q18038729	GPKOW	27238	Q21108309
1081	Q18038739	NFU1	27247	Q21105397
1082	Q18038739	NFU1	27247	Q21138427
1085	Q18038754	TEKT2	27285	Q21135795
1087	Q18038756	VENTX	27287	Q21105490
1089	Q18038757	RBMXL2	27288	Q21120533
1091	Q18038760	SPINK4	27290	Q21114752
1093	Q18038761	R3HCC1L	27291	Q21102235
1095	Q18038762	DIMT1	27292	Q21115801
